State,Population,Literacy_Rate,Area (sq miles),Crime_Rate_2018,Crime_Rate_2019,Crime_Rate_2020,Crime_Rate_2021,crime_types
Xylophone Xanadu,8291748,71.12801755131618,81134,10.790280104391952,13.174914721278903,0.8692402100576702,39.975500968821,Cybercrime
Yonder Yarn,6208851,82.16034374271482,12137,44.245062622076745,8.325051802515098,4.110709724954809,48.75859771045691,Public Disorder Offenses
Zephyr Zone,4898807,78.47283840004198,59204,40.21452528420813,6.670281433561903,6.445032786365551,3.503468599234311,Drug Trafficking
Azure Acres,3689555,94.61427984920043,77372,47.08739261723501,4.656643083462658,49.89543524013359,24.219741357419228,DUI (Driving Under the Influence)
Blissful Bluffs,6287171,77.34751251425774,57819,10.317980506578806,32.567260713860065,5.748384773333709,17.12832417809817,Terrorism
Caramel Cove,2323334,74.55697030698423,56252,38.21950741371541,8.074784802585883,46.04260413213357,36.022374257276205,Narcotics Trafficking
Dazzling Dunes,8012558,94.80401292410625,80349,26.6722941955509,28.32160346572719,21.401092384367963,31.83073419125409,Kidnapping
Elysian Echo,4002356,74.43160758663292,55931,45.29321010938379,1.020366610807616,44.92684000942328,32.62666034479057,Counterfeiting
Frosted Fields,222785,90.41217348981775,58204,4.983271360674523,5.286164350676076,39.2249514102366,27.495189147202126,Vandalism
Grandiose Gardens,1345972,92.17259599134854,1599,15.878290361131665,22.023577091752607,15.201254958521687,20.433238664444964,Shoplifting
Heavenly Heights,8628579,77.6081563022774,78629,35.691276358628635,46.940076944892304,48.52123769397162,18.218435323114118,DUI (Driving Under the Influence)
Infinite Isle,3936987,91.92465639581123,21958,39.802022513696315,39.01270754493093,25.575884043289133,15.965564768568585,White Collar Crime
Jovial Jungle,2521783,81.40827898839851,88840,39.758682353850396,21.233962579191314,25.95905479449839,46.54152922546885,Public Corruption
Kaleidoscopic Knolls,8709965,94.41077234775123,8045,24.544725945293226,29.27685812779124,26.187189871602445,12.978557025318754,Tax Evasion
Luminous Lagoon,1982409,95.60393782891009,55953,47.698835426374636,6.188018683926333,15.194994087888054,21.417531798084514,Identity Theft
Majestic Meadow,7166595,72.26087430278467,3814,14.566733695528495,12.417545394810887,46.8735305124596,21.45148199219528,Stalking
Nebula Niche,1981173,91.77824689979624,24460,13.70326066243014,10.48905983642332,14.102646893040237,12.744316178779725,Credit Card Fraud
Opulent Orchard,7067970,71.45859640895983,27292,30.08804198871779,46.687921452452166,17.521450427668146,49.036633947633476,Smuggling
Pearly Pines,8626432,96.50221763644073,23971,46.08718125858026,25.70302389664713,32.60776295277558,43.967811184168944,Smuggling
Quaint Quagmire,3482634,87.15957873848592,69618,33.33234536922925,4.275267529001253,39.64510368854953,12.236989109907359,Human Rights Violations
Radiant Retreat,3115713,91.3176283626212,67684,49.644304787166455,41.19032741605645,27.740216706310488,42.61609763449476,Racketeering
Stellar Sanctuary,1896251,84.61318987457946,44479,37.4929134312877,10.625967212422822,42.961279997569754,39.51629907647957,Sexual Assault
Timeless Tundra,1338865,79.48697921727364,6565,21.39418482526133,30.02389512111649,29.744991059926924,28.355616862004112,Illegal Arms Trade
Utopian Uplands,4596275,97.34771840460097,85630,5.332650903635355,33.28234248771077,3.3401377305164512,5.358609304554901,Cybercrime
Vibrant Vale,8936621,78.2432681891645,61796,33.68216697205671,23.937521907304866,20.922776197017463,4.422038653878557,Kidnapping
Whispering Willows,8565655,94.0311017586741,82516,10.277216030431285,34.55526071844288,36.26371714726477,42.0832944505353,Public Disorder Offenses
Zenith Zen,7940795,92.6716665257731,18577,13.345325861562712,32.38912880294408,20.60581493684564,21.808462102712937,Car Theft
Astronomical Annex,195307,80.90119274115371,33462,32.39919884634485,35.785026274906876,35.56552938033931,20.14228573257675,Money Counterfeiting
Bountiful Bayou,6355398,89.15036009034873,35763,10.287882033249856,13.09380636644521,40.08000636282674,15.886592846455788,Public Intoxication
Celestial Citadel,2138432,97.69385135008893,93867,40.83125333549389,36.83947028149528,8.40427582689327,0.570202118308194,Car Theft
Daydream Desert,4229365,84.852223303978,90889,35.37803676042849,28.43314884206881,36.515200140823914,9.466542879116746,Human Rights Violations
Ethereal Enclave,8154614,79.15918179566839,69331,12.554704530543026,16.103429421305254,9.208649039535082,24.41356545580589,Stalking
Fabled Fjord,1594907,97.02974251155007,6319,33.0385016132494,2.003107320022146,19.607316376215415,41.89273518062186,Environmental Pollution
Glistening Grotto,6944526,98.09804111243568,21733,37.99880768829962,18.61700122476448,24.250485360475377,4.257444283598316,Tax Evasion
Harmonious Hacienda,877579,80.92433898829837,32117,14.66505697530463,0.09816663294365813,42.859110046533395,47.57948230434435,Tax Evasion
Illustrious Inlet,6895682,83.61984411072275,24829,28.371741621090507,43.491823465469324,4.115569164079281,18.77047785655998,Counterfeiting
Jocular Jungle,3110717,98.53029153390092,85716,38.602184038223555,19.3094433482176,49.588945347424016,22.647872471385412,Computer Crimes
Kindle Key,4117617,95.76954112097248,90253,15.758581581638081,41.86080797407451,41.77638958345881,6.890580423002896,Environmental Pollution
Lustrous Lagoon,5380755,82.2861973327467,86173,8.838413492618823,9.86917436458581,35.99026616092949,28.48610157309587,White Collar Crime
Mellow Mesa,8316068,85.19471824534067,23335,2.5952656296190977,44.73108044146802,2.575434801972082,43.04459822174289,Computer Crimes
Nocturnal Nook,7519801,84.53755847426403,30069,0.23682650853497633,49.53826612077366,22.6406918652514,17.052018764043158,Illegal Arms Trade
Oasis Overlook,1078911,89.17934645148347,12046,14.567018131965309,39.873166102888405,23.18681603858806,11.280557350201159,Illegal Arms Trade
Pastel Plateau,8653955,75.39809668805228,62312,24.150518228459394,18.432213898831897,10.299839398187133,14.790553983542765,Environmental Crime
Quizzical Quarry,6538368,70.36025130222312,24156,35.79512559942254,47.23031868691411,17.08753186215146,19.83196999702822,Gang Violence
Radiant Ravine,7318366,70.83191885219924,28652,0.5854518688400923,33.13332001462436,8.034433204700703,16.881782078508195,Vandalism
Serene Summit,7039405,93.20672320307924,69635,36.18198294931453,38.640444164570766,2.305665839433768,46.79474422039938,Illegal Gambling
Tranquil Tundra,9318277,76.38709514945685,70502,4.450458609450875,4.246817824266796,15.143435515761583,30.640568276637147,Credit Card Fraud
